Study.ID,,,,,,,,,
6,Phylum,Order,Species,1999,2000,2001,2002,2005,2006
6,Arthropoda,Copepoda,Acartia clausi,6254,"17,973","12,579","12,524","27,987","16,629"
6,Arthropoda,Copepoda,Calanus euxinus,5253,9214,"11,697","11,409",9459,6771
6,Arthropoda,Copepoda,Centropages ponticus,759,45,223,30,0,48
6,Arthropoda,Copepoda,Oithona similis,28,2857,"25,792",9772,7252,7219
6,Arthropoda,Copepoda,Paracalanus parvus,756,4981,"11,695","10,137","12,094",3097
6,Arthropoda,Copepoda,Pseudocalanus elongatus,8068,"16,595","11,695","10,137","24,806",6243
6,Arthropoda,Copepoda,Harpacticoid copepod,15,2760,871,321,153,414
6,Arthropoda,Cirripedia,Cirriped nauplii,935,23,3707,35,0,545
6,Arthropoda,Cladocera,Penilia avirostris,"16,054","67,770","33,411",1072,925,1354
6,Arthropoda,Cladocera,Pseudoevadne tergestina,5589,269,1963,100,75,5820
6,Chordata,Appendicularia,Oikopleura dioica,1462,8284,"22,455",9817,"13,038","42,143"
6,Chaetognatha,Aphragmorphora,Sagitta setosa,"44,353","33,355","50,048",2590,1825,9321
6,Cnidaria,Coelenterata,Medusae planula,0,"27,597",2972,8350,0,5167
34,Species ,Post-larvae _Y2,Settlers _Y1,Settlers _Y2,Recruits _Y1,Recruits _Y2,,,
34,Atherina spp. ,19,186,2724,1997,366,,,
34,Apogon imberbis ,10,5,25,1,100,,,
34,Argentina sphyraena ,1,,,,,,,
34,Arnoglossus laterna ,1,,,,,,,
34,Arnoglossus spp. ,1,,,,,,,
34,Auxis rochei ,3,,,,,,,
34,Belone belone ,,,15,,9,,,
34,Blenniidae ,1312,,,,,,,
34,Boops boops ,8,,779,1996,1586,,,
34,Bothus podas ,1,,2,,2,,,
34,Caranx chrysos ,2,,,,,,,
34,Caranx ronchus ,1,,,,,,,
34,Chromis chromis ,175,890,2929,2239,7125,,,
34,Conger conger ,5,,,,,,,
34,Coris julis ,,88,302,658,1589,,,
34,Dactylopterus volitans ,3,,,,,,,
34,Dentex dentex ,,1,4,34,17,,,
34,Dicentrachus labrax ,,,5,,16,,,
34,Diplodus annularis ,368,3,517,49,538,,,
34,Diplodus cervinus ,,,343,1,40,,,
34,Diplodus puntazzo ,42,10,93,20,355,,,
34,Diplodus sargus ,1,30,347,556,346,,,
34,Diplodus spp. ,2,,,,,,,
34,Diplodus vulgaris ,,373,1510,584,296,,,
34,Echiichthys vipera ,2,,,,,,,
34,Engraulis encrasicolus ,9,,,,,,,
34,Epinephelus costae ,,,,2,,,,
34,Epinephelus marginatus ,,2,2,2,6,,,
34,Gaidropsaurus mediterraneus ,90,,,,,,,
34,Gymnammodytes semisquamatus ,14,,102,,246,,,
34,Hippocampus hippocampus ,1,,,,,,,
34,Labrus merula ,,3,4,16,10,,,
34,Litognathus mormyrus ,,,14,,86,,,
34,Labrus viridis ,,2,,3,1,,,
34,Monochirus hispidus ,1,,,,,,,
34,Mycteroperca rubra ,1,,,,1,,,
34,Mullus spp. ,612,,56,23,11,,,
34,Mugilidae ,40,192,1035,7126,5911,,,
34,Oblada melanura ,330,7,6625,3603,2021,,,
34,Pagellus bogaraveo ,513,,32,,,,,
34,Pagrus pagrus ,16,,,,,,,
34,Pomatoschisthus spp. ,,,592,,121,,,
34,Pomatomus saltatrix ,6,,,,,,,
34,Sarda sarda ,1,,,,,,,
34,Sardina pilchardus ,869,,,,,,,
34,Sarpa salpa ,35,822,5332,2456,10514,,,
34,Sciaena umbra ,1,,,,4,,,
34,Scorpaena porcus ,17,,,,,,,
34,Scorpaena scrofa ,3,,,,,,,
34,Seriola dumerilii ,1,,,,,,,
34,Serranus cabrilla ,1,,,,5,,,
34,Serranus hepatus ,3,,,,,,,
34,Serranus scriba ,2,,8,199,126,,,
34,Solea senegalensis ,1,,,,,,,
34,Sparus aurata ,,,,,4,,,
34,Spicara maena ,,139,3,55,25,,,
34,Spondyliosoma cantharus ,11,,8,,2,,,
34,Sphyraena viridensis ,,,228,15,57,,,
34,Symphodus cinereus ,,,12,2,8,,,
34,Symphodus mediterraneus ,,17,175,143,195,,,
34,Symphodus ocellatus ,,42,324,597,3191,,,
34,Symphodus roissali ,,25,91,275,386,,,
34,Symphodus rostratus ,,,8,19,11,,,
34,Symphodus spp. ,10,,,,,,,
34,Symphodus tinca ,,4,53,715,811,,,
34,Thalassoma pavo ,5,1251,1894,1238,8136,,,
34,Trachinotus ovatus ,71,124,149,665,221,,,
34,Trachurus spp. ,460,,,,1,,,
34,Tripterygion spp. ,3,,,,,,,
34,Uranoscopus scaber ,1,,,,,,,
67,Common Name,Scientific name,site,2004,2005,2006,2007,2008,
67,Atlantic spadefish,Chaetodipterus faber,B,NA,2,1,NA,3,
67,Balloonfish,Diodon holocanthus,B,NA,3,6,2,6,
67,Banded blenny,Paraclinus fasciatus,B,1,NA,NA,NA,NA,
67,Bandtail puffer,Sphoeroides spengleri,B,NA,NA,NA,NA,2,
67,Bar jack,Carangoides ruber,B,293,8,15,65,9,
67,Beaugregory,Stegastes leucostictus,B,14,19,44,12,90,
67,Bermuda chub,Kyphosus sectatrix,B,NA,10,3,4,3,
67,Bicolor damselfish,Stegastes partitus,B,NA,NA,2,5,2,
67,Black margate,Anisotremus surinamensis,B,4,7,3,4,2,
67,Blackear wrasse,Halichoeres poeyi,B,1,NA,NA,28,NA,
67,Blue angelfish,Holacanthus bermudensis,B,NA,1,NA,2,3,
67,Blue chromis,Chromis cyanea,B,1,NA,NA,NA,NA,
67,Blue goby,Ptereleotris calliura,B,NA,1,NA,NA,NA,
67,Blue runner,Caranx crysos,B,30,NA,NA,NA,NA,
